Protein IDs	Majority protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Mol. weight [kDa]	Q-value	Score	Reverse	Potential contaminant	Only identified by site	LFQ intensity Experiment1	LFQ intensity Experiment2	LFQ intensity Experiment3	LFQ intensity Experiment4	LFQ intensity Experiment5	LFQ intensity Experiment6	LFQ intensity Experiment7	LFQ intensity Experiment8	iBAQ Experiment1	iBAQ Experiment2	iBAQ Experiment3	iBAQ Experiment4	iBAQ Experiment5	iBAQ Experiment6	iBAQ Experiment7	iBAQ Experiment8	Intensity Experiment1	Intensity Experiment2	Intensity Experiment3	Intensity Experiment4	Intensity Experiment5	Intensity Experiment6	Intensity Experiment7	Intensity Experiment8
P00053	P00053	GENE53	MaxQuant protein 53	3	23	5	12	38.447538873034965	0.007493622900641221	216.6201235093338				8593264.279385278	2943996.2702924474	34473545.306015395	3883037.2711059223	76949126.20121072	19719642.55833282	8739214.128613103	1205075.2753412642	1051964.1690789775	583709.1550812703	2312339.793613538	506543.4203442082	41260.93818216376	175381.12996451784	601032.6211865103	235098.03369891254	10219095.273020376	3623080.51754106	1202873.2163108415	15067784.983237496	14401461.52601879	5498185.447601806	1772717.8795580987	45019053.121857
P00054	P00054	GENE54	MaxQuant protein 54	1	16	5	2	108.85849963205881	0.002530382026738974	258.73181678742947				3539102.9315789263	24403369.575149283	2746927.4579251893	4780086.06277886	4275101.866227164	43993640.28054796	2410794.6396727273	7578985.4601359535	60829.44604351977	9591610.657682816	213916.31336248777	87999.12253935415	4101734.116808384	65242.176750783976	326888.7386321811	423257.8612183808	4062401.5382056376	19056683.16871241	22951266.044398293	17692501.5907569	2796686.981303972	3247179.8004499376	23332520.267022356	14659514.591166424
P00055	P00055	GENE55	MaxQuant protein 55	4	15	3	4	155.23709408022097	0.005393715335953274	139.04042403699788				6914110.848422908	4842147.487651321	22855202.264704574	8735677.242990516	1308114.3103392872	23308696.143625293	1008895.2969355121	5195879.190772555	119217.96968345103	2375787.931279115	1292473.7649954094	3472781.932525366	885486.7877559493	581381.6943106194	949879.3750605071	339738.7395276068	40317925.82332813	272665910.0425921	1880844.5437604198	139951.4364708158	3683855.737489128	3757609.0211805147	21670881.866988283	2915166.005385853
P00056	P00056	GENE56	MaxQuant protein 56	4	25	7	5	103.40326495985249	0.008318818534476805	210.4686835812585				2375766.268492912	8758238.135960609	13260541.261865042	2552713.6830502227	11418757.837451175	3278895.3277453464	500128.2489430055	4321991.037590066	1316993.3761632808	172830.97589668032	547433.5010488245	241007.20664283403	2670190.394767464	428933.1805672198	4106047.439774701	109494.4265700549	14544832.176317718	7694178.2431253875	17091107.782400414	6612216.513979962	2354569.446640177	8523737.998063913	12489415.213250771	10423624.289417686
P00057	P00057	GENE57	MaxQuant protein 57	4	29	13	18	16.64905579908487	0.008174609234417839	129.02258239858273				1291903.9682702802	1003444.1119534704	17709644.788144775	273351.59146327234	4276186.536263813	1880428.7049647374	3039363.6756995493	12549491.610934343	2517200.372167968	1879005.3874977538	2606543.330125884	41692506.43925194	127230.92990685406	159270.20260427493	14846488.088972343	511897.72656383866	7307537.533635802	2307559.2614893354	4586221.727743897	30870845.93067777	16563140.7382089	3232337.0238413154	736998.18523468	7223816.041988345
P00058	P00058	GENE58	MaxQuant protein 58	1	22	2	16	58.41423382749382	0.006714397646779394	219.65373244584362				30646186.284610417	2875676.545027425	26017121.685549367	801558.5992214432	6963917.714889503	167075027.37499815	39095990.50906707	6712360.986919235	445460.3329564867	1821893.3925969065	375715.4305648451	7780605.975434	3885034.827348122	444047.70940855605	2538767.5603850456	438835.6483967161	68071673.45056832	671812.00292239	5265492.481754619	2433306.1210821914	7355525.484060126	17569504.661891457	22178457.844882183	771609.9990584267
P00059	P00059	GENE59	MaxQuant protein 59	2	28	6	8	182.76785913841113	0.008268517770107007	177.39291900491637				49912409.350956425	5560778.888090516	4180451.576367083	21957576.988684688	12234692.853917817	50779147.58758654	3424189.344981468	3534049.7854837524	654135.5627804181	432873.8467806839	1199212.0957683127	362062.14159573306	149330.9654637087	655746.3348903661	679812.8229621296	1814686.6593787426	5849548.298285282	11915385.362130992	14158759.382516833	2892875.918569344	40217183.90611912	9061775.526502686	1267245.1264894097	18590355.59109495
P00060	P00060	GENE60	MaxQuant protein 60	4	27	3	2	141.6982746502349	0.006691522194973577	197.31026699495246				2532569.811107176	10282659.27116867	29449755.80498559	577338.2705137838	24075534.687610734	597949.0073467522	445272.0320493033	9762982.815584073	890432.7909348503	3876605.4786531343	1653750.6402158148	318593.14099481987	2081625.1845497475	660962.0587991008	563346.4881784709	8896726.348356316	3933825.490022696	9994122.285423746	7055695.991490173	3574716.2706467486	50981937.28454633	45939453.55351379	7679278.712714368	23570464.814535014
P00061	P00061	GENE61	MaxQuant protein 61	4	16	17	12	166.1579923462448	0.0023233315383491427	153.85257097790935				3505655.0411320506	5366028.868966757	14990603.439273525	2764049.7119393265	26835817.488901716	3131755.663752929	20829813.215552982	16514120.309504556	841116.6122520143	705031.7587794961	1112379.9404301113	338595.4396994278	2928941.9449129626	669750.1973448142	19597.083907454093	2591658.1933810064	5114362.6407210715	590658.5671650706	2840588.6343219974	5149275.7350933915	8484741.942324266	28936621.69185458	16007677.092905315	12480740.866917543
P00062	P00062	GENE62	MaxQuant protein 62	1	10	23	10	172.60962923691812	0.0014434318005943814	273.57883577747964				10680278.099587552	10398675.614120156	6331388.0067079915	340802.26631108066	7092096.252696734	8400103.566109704	436406.25809152646	19749621.84537781	75502.03442239978	310075.58518688753	169533.39958721452	1449391.4903553533	49145966.17878139	2529740.910852741	225088.37222531575	2059506.6702451126	47376700.093781	5246193.572936911	114072614.77671327	25804578.11740801	29250378.50783225	11181268.764942529	2126476.818121469	4569223.718301127
P00063	P00063	GENE63	MaxQuant protein 63	1	16	14	8	132.14287021360587	0.008088430737281521	221.34778256466925				940347.8585760331	6403347.955897416	16045900.203598384	14402830.023431363	149724.39615664264	1561523.7831203616	1056501.379351695	6176000.002089213	2453047.7097513922	155172.83102330912	184330.05858448657	257986.6332879897	2292460.333490694	867673.6638043134	837194.3766475131	314039.17805796216	1887887.1952193535	12888149.976743916	5992686.882758784	109696332.62979324	158854.0185486355	30899013.90874063	32501463.113181293	1556353.9473465604
P00064	P00064	GENE64	MaxQuant protein 64	4	14	22	17	15.112759475999024	0.009316673419447563	197.10585957609678				3133129.0306861303	20997721.55836561	2619291.8324905974	807032.471340628	750369.3974810983	33207340.941161707	3244573.4332486424	53199.92884112975	248150.0456566993	3262808.253095819	2859249.318629488	2203976.808506621	3538921.5193355153	58476.23953082814	1886729.2639524196	526666.3727983469	4214198.040624723	58532982.698657	20296829.416850153	4868039.021499657	15548100.884047316	22752646.450070813	5145434.015527054	18619317.81419852
P00065	P00065	GENE65	MaxQuant protein 65	1	30	10	9	163.61445806846334	0.00570949268041736	184.38284851950183				1436747.8288968087	7700733.434949154	4680285.528836303	5512183.474539729	1082900.2950309303	3166562.6469636997	420534.6392400966	41770498.4000751	2071683.6922096396	1185584.6060956507	1354285.0447550297	230751.08292902992	239419.37667839872	292683.0166759098	1892015.149534882	70574.02775596158	18550688.634780288	1239637.8751382057	3871869.357471712	5484253.206704539	4227575.038974576	1685459.1915483803	8833921.04606879	4176358.2506547202
P00066	P00066	GENE66	MaxQuant protein 66	2	30	20	5	21.510163130135474	0.007680447466931535	274.57584746649565				17119910.704222966	5233209.474769967	4665147.182167225	8600449.35101987	6514535.353098345	303447.8505513724	79422850.34669968	19742048.708210215	779560.1510196796	790042.2110842334	183832.3629237966	4026053.780252914	71749.34296731945	372328.4304013553	210659.02283183282	1043985.6938875036	15406320.944849964	9686865.566634672	2746047.9217310194	640476.4200577389	11467261.083599523	6538993.474156164	6279183.175027099	7001939.0359355165
P00067	P00067	GENE67	MaxQuant protein 67	4	20	19	3	190.1258876671943	0.0032230080800512073	120.56828170211385				19903051.928140197	13798967.930058539	16985482.33235834	1095119.7376392938	427685.70167357964	435311.29457109055	6369811.034403872	2368538.70367023	2343701.750995281	925911.258146205	6736186.186825106	756333.6535187727	19504.25219426592	15104802.635217024	891254.2042638779	1111262.724398815	1837936.394097277	2579973.40522256	19146819.622860696	1462048.828781131	10385695.374987734	10602258.266176326	12515473.083236735	308529.73285570176
P00068	P00068	GENE68	MaxQuant protein 68	2	8	14	13	102.39567129800966	0.009616937498136366	269.2533104508389				6250926.937794353	1005058.712489076	6646284.738253403	531102.9022772852	1703198.6098390142	2722006.163550916	5957051.874386166	2976052.7963648466	139346.07282008106	1189928.3158927076	538359.8927921482	309347.70255866594	917936.732341641	3581353.7623139084	1434483.8707434868	39917.58598330047	30052573.40875221	4258784.575141651	3787373.4626754276	7639437.360317937	8883079.831171185	15183226.115883885	3185701.6885805023	3758375.048895385
P00069	P00069	GENE69	MaxQuant protein 69	2	6	15	14	97.6001576771188	0.0007846239225200069	293.30873296507355				15089545.024377547	15649113.383704368	7844305.5674206065	4104412.971220055	7745287.017280406	47877331.95898214	14707111.794327702	826141.9046506276	2014385.612691374	150075.22849240171	1483198.1790946068	386210.20256907697	4259528.990181569	62708.58587481247	955601.2170762974	9469374.130764363	26010873.89740338	19264103.962422393	59279438.491196945	7973127.040130646	10870108.015006747	108318682.21302457	2752883.000306956	990717.8077345713
P00070	P00070	GENE70	MaxQuant protein 70	2	26	9	8	99.96117625735391	0.00015771942927278237	122.04912957300603				2749541.5708943773	1339309.2683719974	2202671.5962760695	12224170.040949138	7187785.681649322	1835541.3256379785	23165830.441447187	740403.9499732921	2014238.5929211632	4775276.664885791	157611.80859915324	1497711.7955020738	333276.80813378346	173517.8617341205	8573425.316080444	1694180.2827406595	9753564.041254697	46494858.65624399	166835557.11617622	34443515.59006402	15319460.088424785	9610633.436276864	13037374.21364151	11146927.476002462
P00071	P00071	GENE71	MaxQuant protein 71	1	2	17	17	68.51666663716378	0.008035236295206085	110.65993198289578				20496971.80382187	904537.0675084129	1890608.2925648915	519988.15015037917	27489799.290059384	21354485.352447584	2987758.1862063813	6971232.135645607	5732316.44482968	1515370.5361107367	755795.6973839013	2026660.1612956335	1365899.5284875464	547053.0554099669	290760.09507170354	853620.766216716	4503375.153972181	10493591.278194103	14544982.235325063	50431521.88525651	14233881.284144444	1472132.9708319462	2144652.910401533	8939159.068802807
P00072	P00072	GENE72	MaxQuant protein 72	4	5	20	20	90.01729746178609	0.004892205561764209	279.7615152169083				12586259.010729456	130170493.80258194	1503273.3767971143	1062540.315747399	7546813.91912345	2715256.617895995	992281.6031034181	255583.1073954695	264895.5135433442	1454958.250749747	75840.65844971729	4104132.9940330563	111169.14840709943	279149.5591501547	288015.6376571339	451256.1528310458	33219383.216241717	770334.6228199314	31942056.129600096	13248739.575032594	2078264.8704924032	2372215.310658043	12642580.720222933	1254319.3887242284
P00073	P00073	GENE73	MaxQuant protein 73	4	25	23	15	33.23559400342849	0.003687322391991118	204.27957039130715				253040.16911404126	6337434.132277738	169697.07629970828	760303.7276310258	5787176.89732705	2819360.584080891	11502292.00994341	5071195.195885141	619188.5550189468	1546517.721785624	650507.1040598382	14727237.80998718	690962.8730042304	1927646.0725923607	1369989.7689678113	139975.46564380472	1113304.7938268536	1125780.063205534	7445632.220344101	12238260.338978406	7465531.653944544	9458992.80370419	376173.9696877024	1640456.2145080755
P00074	P00074	GENE74	MaxQuant protein 74	3	22	6	5	96.25532940452284	0.0027395593789444174	192.92895339159872				1208772.0232579096	17186145.40906961	2673603.434883626	538796.2227856623	1069185.3539473393	2184424.6601874554	2419271.6199635877	1567379.9640195146	633509.0108564207	1589390.7685693316	854460.8851475111	307011.6798907159	853714.944905471	1526140.8993411064	274756.5849464553	927457.3928987205	3517377.255064729	762886.6987112525	7065663.185879896	3337466.8837480163	4032286.4551332444	695769351.9285834	16667027.618701324	20485016.05443624
P00075	P00075	GENE75	MaxQuant protein 75	1	14	2	19	15.471952126311262	0.009102541026455758	92.41546232785315				2376631.1129481	500402.4918382774	25954227.28427233	70260801.70588669	15346434.387436884	16801838.568824213	36626501.369837314	17243370.33532578	1892414.5418410525	347832.7159032675	511479.228251866	675360.1629317217	94267.13558296561	628770.8147781801	1190189.0929082069	5562130.958003162	4074574.470527851	46162765.83365077	5144259.278175299	6335948.230010149	4136693.678447023	1695433.2139485427	1821669.8459100004	25595418.30807332
P00076	P00076	GENE76	MaxQuant protein 76	3	17	23	18	27.253475345187155	0.005650450410944336	244.44457379147				6634345.0088739535	2222081.900934354	12627221.092900684	11757661.403288843	3117958.2553952015	3621275.251450776	3330228.603733071	17733914.25511836	3554388.3084940007	604333.511860005	2737749.9712031335	2561578.3041784605	15601477.414534582	25476046.79887528	4931054.697835536	2522602.645373758	1887077.6575795088	4628575.2327203965	40716350.15198865	42531317.356628224	2462116.81041639	6302369.389984663	1195893.8743556116	3604017.64116759
P00077	P00077	GENE77	MaxQuant protein 77	4	15	4	14	121.95946788821884	0.0017683177417756324	95.77282689511387				16723892.61297628	3795587.379464504	39439574.56806533	36003633.99051924	69587508.51209146	2343199.1984934667	13372958.933282627	804269.0020312046	9218021.408794548	259193.9555420026	270029.8106686609	161853.23491859282	682493.6809166602	702858.3833875905	649187.7472130249	1316843.7978826396	91627946.20633988	146026285.49698848	29543098.64481134	29169822.22460764	5169636.33751447	5972144.562901031	7370730.300020067	9151826.117903562
P00078	P00078	GENE78	MaxQuant protein 78	3	11	11	10	183.03909562373454	0.0015613583351455074	62.66073334731627				561435.2720655085	7156196.260656215	8672072.399824157	3245649.93535372	252354.1355184328	142342082.8511199	8382140.537259034	5749566.797911111	781424.9590815116	11326315.968899969	415562.88281317166	3997746.856296452	479412.1847283232	5085536.40474557	1669017.2242395063	6115803.563638354	2297633.75623037	24027166.95017811	1919250.273444	21922965.636204075	20240521.440453865	9981299.345313866	10203925.748776823	3106653.608849664
P00079	P00079	GENE79	MaxQuant protein 79	2	13	25	18	123.04834736382986	0.004683696516876874	188.03016413882588				12744579.445548058	159062778.2408479	5850762.974509707	795476.5588985246	11452734.168486664	3001976.023429265	22132182.99245558	6400447.47314626	2713664.123901935	1798912.8330627207	131653.40955302637	286955.932371987	14529899.600493636	16520461.646787707	2327650.6324176686	1570789.6822353231	31655816.185390536	4212549.285527221	65257121.96852162	17646775.682676148	2464188.6447922247	9024975.519092284	73143896.11269172	4682439.149969753
P00080	P00080	GENE80	MaxQuant protein 80	4	26	11	10	175.94876543945952	0.0018387455167511691	77.57590731615633				1614575.3663850178	3703093.7907894817	333392.429753138	815952.7092700006	84495069.92149965	9336414.022500169	13898487.54843936	4909935.442783619	2832051.9944734266	207749.65404604864	2022883.1516371737	121690.17345270704	1011957.9325928403	1142404.4229751136	227432.04188793153	4058611.6979271895	16599724.409837151	8032598.130618728	7632911.411271908	148419.37899242144	3599963.6949581522	25222075.10608674	2753707.2289876426	5832499.88186393
P00081	P00081	GENE81	MaxQuant protein 81	3	5	6	13	167.4714224319284	0.004556127487544977	86.35715206558434				3160917.662264413	476132.016832201	1811563.272665433	1605512.75442394	47498801.58244836	22221268.878525745	2346725.5848795148	9086624.579751756	242035.8886804397	3569890.039351819	3578156.6634774334	2888939.520018252	1106115.7052920086	2646626.9540574597	19592103.01201121	675658.2018635799	1392285.160352917	17413237.335058317	2181095.977324535	31696537.582677815	9908672.421104873	1036693.4073921987	2420793.3272813605	868932.217381227
P00082	P00082	GENE82	MaxQuant protein 82	1	27	10	10	132.8936904940978	0.009296267130223091	202.65063527271667				862658.1712625097	12741935.051018452	632413.6670831427	1438866.0129414904	7368761.711645302	1122200.9870574432	25533946.494841747	1063001.9873968042	759781.4198863546	708186.159326738	49686.43692806074	2132951.668733736	960316.3234457275	727334.8452443182	302014.80461295537	1566012.095193193	10075090.78545409	451894.45100283757	6397256.56424151	11330174.113613386	4219116.026379849	16303462.699052824	25042315.952406224	8506185.517532382
P00083	P00083	GENE83	MaxQuant protein 83	4	20	3	14	12.036755308576348	0.002201321713243264	238.9788754919673				2379621.5637396	5501393.48617841	2091588.360965223	2318726.724784311	3080619.1414019563	3697609.543674909	11791201.623125792	1886194.6129437457	755656.5800095805	3072892.8596025873	153044.84217663188	758889.2775580512	520794.8721449711	1900040.407019085	26418904.77547076	247008.78828640285	4564802.896984224	4759173.892726092	5844634.842935303	12992080.082176441	334456.7927764826	1935931.4024988415	4594379.973336761	33884657.18492826
P00084	P00084	GENE84	MaxQuant protein 84	3	7	24	12	72.04805144993338	0.00454687543721071	269.97741632516943				127257.00003239857	1253250.1063112451	946911.5233341154	8842708.187769765	193937.15269261572	2567606.9628015137	458736.20917941845	1336572.030719572	898039.8781362367	16431955.560198234	66492.40687706559	3152334.6920689563	18451747.710985366	1470755.3422229814	3078900.6613292126	3868592.993377229	1598964.9213304624	6773702.050942876	9326295.150336046	3932722.783248551	6924500.343150475	29517928.9426345	22308240.65496658	2548425.039732081
P00085	P00085	GENE85	MaxQuant protein 85	3	27	9	17	20.420565613253743	0.006666533574336628	119.746754820898				45810720.599661194	124602.572415975	3965253.9961547516	354474.7261328706	6194175.723886565	2766248.1846447554	7466446.600304219	2132911.3619684405	452770.8648683679	1277037.473238091	791626.0880583543	617714.7600243227	3019112.4656283366	1779564.3381328564	3158919.995002102	326008.90873261105	7712563.395029816	526966.4539660803	5168768.493673403	15624884.162426244	13440685.442903915	3419215.454011698	3668886.8743319185	5428475.034847611
P00086	P00086	GENE86	MaxQuant protein 86	3	7	24	17	70.8520273097181	0.004500416562079458	211.42952245414622				660961.7341991506	2443276.825691867	5688762.552293521	3847535.304248864	8289310.881153855	11604861.292955514	383950.13328095543	3426319.681835518	1226516.6733952216	1821251.6985429532	310929.3418351411	1125609.2382268996	1292464.5120985769	4629719.08040711	8895869.163014028	2358997.649286941	2429635.416399936	9937938.399434237	4461058.8058625655	2787126.6766760787	15066351.047133744	26107429.8458368	15616088.635779886	24336227.678945467
P00087	P00087	GENE87	MaxQuant protein 87	4	12	20	15	126.77830147453325	0.0008558405232632605	138.1463911674826				14850822.140399136	6346709.436017897	263784.7659669184	15471064.995911092	1894359.494440008	306057.3239294376	24324465.759957563	11185116.891232742	56910.30843863023	2260481.899639416	1049823.9590519313	81950.45656973706	205983.32753185832	884656.0344201601	1254721.420858506	521505.68544926343	1730060.4116246703	838705.2269030304	1748614.611251909	26941789.408296186	882968.0533477848	3242300.0630338797	1680318.437680452	6463774.502265724
P00088	P00088	GENE88	MaxQuant protein 88	2	2	6	6	46.02527701520299	0.00011959498227255394	262.24224682993633				1771785.4520707014	483580.84952785086	12691301.36267864	4123619.234303107	1301749.5255651877	60903976.26809872	1249564.1314662772	1199225.613740351	928093.4415715779	4185298.930235245	777075.4212920874	123644.83478926923	928792.3504426247	1350738.9448516418	10115726.029315637	1365346.6060065187	673366.656287185	3919230.319930126	16239276.846421275	55044897.785050735	85194900.64803244	13314827.245788146	30487206.28922979	3210371.191522033
P00089	P00089	GENE89	MaxQuant protein 89	4	9	13	15	148.33866245000243	0.00018811526069402508	286.53380830316945				2042026.3694410862	2066792.8832774344	6504898.1941505615	1711112.0831936768	4496071.376897193	450583.94015033904	4397923.801691121	26573867.927297212	188817.7678327122	1436392.7107294232	97169.84547255679	2285716.449313238	549242.9557177831	4491898.372174223	46275646.09187381	660913.8456538033	8223622.034802602	9005480.780087395	14820501.121266846	2682104.4806692316	272230.69239889836	1499989.3012127525	8019296.770115559	2197610.7398541225
P00090	P00090	GENE90	MaxQuant protein 90	1	24	3	17	164.5129611752588	0.004859635054205796	102.05724600938969				350528.25442220876	4419932.591655302	14236852.37139893	2433706.289117157	9762342.304801442	699538.5816614458	736489.2622552537	47837660.27808944	1585939.9281838902	144864.03419703842	354466.4259779089	9739023.97539649	1337065.9693055183	1406061.532123823	391804.1061645545	5210317.473336058	1889359.5497263668	112742.8273883361	4807855.130674184	2211788.562620068	22923524.101312567	16685219.798490437	869108.0426750901	100105100.1670808
P00091	P00091	GENE91	MaxQuant protein 91	4	19	22	4	199.12213639372192	0.00896248224378722	212.30153025013374				610127.2519329895	8406507.940046845	3201134.456513254	24900259.74874476	32059523.39426506	2745654.466236016	1562573.6618175362	10178201.935971089	34645.052121715744	2714712.2208921732	25737440.48659788	15425870.44635019	2188646.541579094	8001363.529181113	1118286.8404778154	6055629.64498823	15509857.942355093	59662370.296632856	6782015.573565594	3430008.78612705	12385391.476695454	956337.3220972203	4097981.3082377394	9213250.664866008
P00092	P00092	GENE92	MaxQuant protein 92	2	24	23	2	101.83278148428722	0.008452462685709304	51.15415304617048				15366180.124098098	3157831.1061533797	2839760.51912656	693067.0413301629	2096326.2512898194	3201125.2195819216	6301243.125122066	13161903.52381601	10668.629310572183	827724.7302715433	272004.1141891331	778991.4297139806	7009237.889830478	264307.97157776105	492354.0902704215	1294436.1386230036	7285311.3809984755	1355551.5630991245	1101422.2328158931	39904560.64620238	41168419.23422619	2571456.7746463255	3063418.0272625987	12882086.96013486
P00093	P00093	GENE93	MaxQuant protein 93	2	20	12	9	122.7811989472623	0.002692090263413821	167.82705078656892				2762751.8551953086	1028494.3326466078	2632552.096710787	480937.7247314885	13988112.828029202	3350923.18787667	6066297.544612154	1305179.6832959403	1820437.3165912721	420190.8674578095	800476.1917212841	514691.1630241233	1439039.0673436988	356902.1893025533	986988.7681519149	995564.2824922464	2511688.7465394125	24821482.059322555	11491677.173440361	398553.51130950905	24275942.469116554	4654807.228201806	6973165.014514406	2183409.6354700536
P00094	P00094	GENE94	MaxQuant protein 94	1	14	11	5	183.66112494270627	0.0039538643687562795	141.01542030870218				2878858.7453576587	22046892.220143195	189264.91543706207	1304104.4262173711	12230944.244260713	2795597.249311841	383385.9740385435	1812171.4680867742	1964285.9631749499	15531437.417104766	6789116.703505758	1011851.2433251438	781802.6125321096	232456.1426886255	1173905.623890292	634522.4469973748	6024774.494956719	2975054.8654670883	7466502.008238656	70229235.8968557	1912599.580414059	10946399.075918496	13606066.665713705	7090386.588561884
P00095	P00095	GENE95	MaxQuant protein 95	1	29	18	10	54.57097302398256	0.004093402219386278	174.18063960598832				4134650.375308782	3124323.4534981926	10179230.849377751	21449833.972308632	816490.3688680686	1923541.7464854247	11110298.528675526	7475863.738062742	1876517.9143189513	7912469.613201881	2520672.9134654948	206594.10186334315	1207251.8764545084	9635563.711508086	349793.9378067471	1238484.1720419123	2716020.8603000776	21108696.78809052	2025746.5177296943	2529768.891210039	27347305.878546823	8446314.820643015	10708116.596744632	2057653.489850703
P00096	P00096	GENE96	MaxQuant protein 96	4	29	7	19	102.85632663136815	0.003957208753393083	218.27235949613166				12699872.768783648	5053845.477230148	530314.1505788664	663456.4872058032	13586987.342877625	1228994.8771643818	1133201.1102784446	909975.3300523707	804475.3040194653	274556.7579867684	2403773.6970504085	1075959.8843433296	343417.37414787116	1211552.1716144604	2279289.898419977	4747695.131160285	5110908.717956104	22692846.21327791	10101516.993109463	21718268.324260015	5207638.678544273	3769165.8741475954	36335957.58656262	6789223.394767447
P00097	P00097	GENE97	MaxQuant protein 97	2	26	2	18	39.33706508918608	0.009740682982716279	131.931197847035				9444084.361703325	3478600.2666469165	622177.423371853	7994824.4446798125	2751378.416623045	4198126.895079541	4377021.733685599	10052595.575108508	176306.77341217548	67821.40590045833	3876514.7884860043	467151.41267761315	656318.6140709139	909793.8688520045	219269.48253761305	1929053.7367062988	4333600.840407375	1641481.4168472786	53912188.40630252	4916732.81327554	17404038.703966375	7728528.199391831	19306488.39814056	6868825.35383402
P00098	P00098	GENE98	MaxQuant protein 98	2	5	7	4	89.51311240732437	0.000779255542956595	171.35130943392676				31839853.107668996	589375.4198324933	3982399.4925834783	31497249.34920043	146719182.8232827	20672416.90434533	2426126.866780011	3032396.25578132	3997238.951128052	527981.6729070003	1053351.042220214	325794.24252320273	348252.5101871628	214686.6823612407	122305.77372517045	1818616.3488273039	51748627.13938463	27814090.804778297	5277460.885740506	13657236.93115693	7205648.905009252	11920858.51380166	2720626.558662562	25752789.454667073
P00099	P00099	GENE99	MaxQuant protein 99	2	17	25	17	24.938305911534744	0.003021337597589391	160.9908237503205				12660365.466789607	3095715.2055081404	3395194.1751887724	11912462.853865772	1019561.9767847371	79326148.7739116	3068585.842796343	16351351.999573173	34634735.87709047	735387.4527977902	4411754.932747522	1127080.5117715872	118344.88570303204	329895.89993933064	2566626.074467146	2658773.8179261344	221319098.48815653	1373968.759096072	223028994.4616959	16074493.546744844	8784113.440509148	33637649.52248902	26885217.969078675	17561515.901440613
P00100	P00100	GENE100	MaxQuant protein 100	2	28	8	15	67.33395859033354	0.0008249369521305805	116.90977750705854				7335790.376396692	11477565.393571492	6241352.500097089	3033217.987694507	4029401.818193248	7281774.477830773	1654251.1861916536	2539147.302222224	152061.06058567791	1232320.9438368706	277853.9417580404	80565.83009838442	12514.444240319563	483656.769583608	2010407.107509607	1144303.0427196613	5313394.86673297	12378420.584629275	14792507.466821741	54452845.94396802	15781504.098204939	2377975.914506781	24621957.99266654	312689685.44279385
P00101	P00101	GENE101	MaxQuant protein 101	2	13	20	15	71.3600512670098	0.007075462291635254	221.6051875600454				4322734.997832772	1057109.5640630522	3391870.376901217	6765981.403607771	5154370.184103002	16126745.832910286	3048600.899522865	1518587.4460698678	247900.72455736288	5735926.317835628	1698825.7076445932	24377.92212007835	2755766.8800201216	238606.29912410516	2013553.6317048632	450355.0466623191	5524742.836921427	49348206.9037449	10147788.874172691	39635998.27619509	7050686.723228034	8499973.212638646	5271089.546777369	1726065.551464682
P00102	P00102	GENE102	MaxQuant protein 102	3	28	9	6	124.49806600417007	0.0051076124726199025	164.03657262151353				51223287.62318809	791188.4324441521	1625356.7629685015	4571456.953942568	4760674.858690408	448510.06492030475	3266040.8860425944	23894647.140511353	415079.06168067775	741828.5030152946	10057065.502482254	1036471.7304534932	300255.12979569146	2818110.028221793	1745930.8167223288	6088450.36129821	10930727.294423088	1920321.0931213356	18453365.0319196	5859737.003399343	11174718.788128734	157775204.9103892	5446107.187881451	8299684.091472397
P00103	P00103	GENE103	MaxQuant protein 103	2	21	7	2	16.893627139342005	0.006043958692293063	155.32448462302358				8482346.272810962	780717.9821025918	1942055.579574335	2532861.721593812	10842580.787423052	8036375.171643904	17317704.286415704	2678591.155926551	6552182.617834823	696123.5976827813	159713.47744417784	1901933.5586976912	1378044.167203736	1539402.9787231684	407415.72613833647	67520.62301318004	21210154.056577493	19261988.599584963	10038260.57249146	4011978.663326708	392833.4385460823	1584113.239512041	5831954.991335485	3541410.33974014
P00104	P00104	GENE104	MaxQuant protein 104	2	6	23	4	26.497175123259176	0.007337760995940409	198.96984299479521				647880.3886171271	3806528.9499453763	3280949.6035118727	271502.19032670977	3156087.733332398	1880023.3172889194	486180.63250971294	2416222.408400907	3536405.8536749305	620833.5432277144	6925131.637787169	4240963.3452096535	1932263.1062338448	221470.5082989983	908864.2575250604	7542450.929221201	33212441.113757893	12684937.141183274	3855520.128976068	43229734.25815617	28552006.719761297	22856216.845764987	35083813.94404843	59692248.93986774
P00105	P00105	GENE105	MaxQuant protein 105	3	14	6	4	148.88194958812693	0.005933486486468388	190.71459373542137				3974867.5996152395	69209828.73164892	2143548.3308125413	1944240.6204150228	4490250.484146228	3398410.352870928	3063218.1240081755	40717839.44051722	2304918.302411276	159173.7404676291	311897.2441824951	3397161.0445650574	451212.5729561453	928524.9026440028	74143.70084497974	3992496.4727515453	1941060.698897803	1281144.328879737	79828179.57922004	20400235.260952786	34635578.37486683	11694716.280474834	4502628.590950374	30048281.91460919
