ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00133	GENE133	Protein P00133	4026513.851985116	3582785.8104128903	4988281.430384763	6533760.700335858	23072503.208363518	2632568.3395743533	719805.4096004467	1948113.7865600227	24257670.720228262	10270977.074788593	4963345.392944214	8648954.323753597
P00134	GENE134	Protein P00134		1159006.5354711115	2151285.311770178	14747279.468668172	1328859.39678223	1717678.8256376607	2006028.0580653439	1872107.08282949	1764810.5724768948		19464822.949920584	
P00135	GENE135	Protein P00135	1945363.5380062952	3523004.12584288	1059440.8633521814	13001219.478021545		8885823.61356281	14846814.382826278	97212588.85352793	4922564.632324382	3239296.963366747	2977555.4066055254	4881031.099562015
P00136	GENE136	Protein P00136	1533839.558017491	7110276.333461548	1597653.3040799014	477486.5519953491	3327969.537050112	13277192.921012137	14885215.755017541	2475446.641084656	5951927.151263689	3287584.1911964766	3841216.1777264257	8967957.255332965
P00137	GENE137	Protein P00137	8569508.663971389	16627786.712118395	3203652.2626928105	18672585.208703216	29455231.838853095	2266140.982658602	773941.2518518292	2724122.816625984	1395431.9955298428	451411.2819762881	3149586.991760156	17470283.804923188
P00138	GENE138	Protein P00138	31979991.415462065	3310441.435911212	7101628.612678472	573266.3862475398		1543139.8472216062	4959710.294949365	592804.7647062188	37403138.45002678	3847707.97438648	4103479.4055832676	16907853.202324003
P00139	GENE139	Protein P00139	10912673.155415561	1283726.6828238755	1211635.950437323	4158121.920695162	19569695.556105185	559351.6065105161	25686924.45916044	14033373.073163059	828992.8973089203	3764770.042298057	9687728.317467911	2379891.877708801
P00140	GENE140	Protein P00140	7097568.988342724	2187411.813911207		17015613.929666404	6707618.181060387	14857126.914902288	599619.629585029	6071897.296229366	5938387.686321279	1528684.7559418557	4429988.901666829	6272314.72231397
P00141	GENE141	Protein P00141	10950952.769036373	932886.4972926104	379309.12455605605		3191842.995479341	4953003.43527129	85198775.96307878	26656646.230049368	10912392.521707565	913021.9909306067	5926207.520354342	3134964.459835891
P00142	GENE142	Protein P00142		4552606.490053516	2691415.3808799186	2918747.3994466355	1961399.495514113	1114765.099396134	4014679.82493199	558589.9932518782		32167434.897829354	913351.6682724709	1547031.7306285985
P00143	GENE143	Protein P00143	26724149.798676345		3199991.738183255	3748781.895422508	8392243.189267205	17860642.565891955	2727256.602627885	2988402.5308077843	15050208.19002871	7214983.401863629	1576911.5849596437	1078831.3106519515
P00144	GENE144	Protein P00144	2421833.7807759503	435018.40654006106	1094052.4100510685	677464.1364543163	1813885.8973068602	2216962.9276394746	2807412.335087083	3253556.3676189464		3058426.2827637736	4387310.186718386	15761116.941670418
P00145	GENE145	Protein P00145	35966453.05615483	20298562.252870757	22980020.82488508		6366063.287230759	1476824.652452859	2470521.6207743525	4654926.964034484	784518.1186582337		16626299.942301538	18084840.757607423
P00146	GENE146	Protein P00146	3549208.5854109563	7914423.617098385	3528336.60222803	1772331.7640610696		8277531.646547357	3413043.726859748		4621023.0747463545	9004259.832974419	4098793.9428536277	388014.34777778183
P00147	GENE147	Protein P00147	1541029.6525758451	768722.800339821		13772828.716113703	32397792.970491495	25542826.384847533	31917478.678882014	8226103.256090639	14889177.745896554	1339748.4668086902	7131257.137925729	9637657.164339399
P00148	GENE148	Protein P00148	1742410.140180279			1518714.8729014646	744031.1746475928	3071340.0882632006	43641595.887203194	49982877.243999615	2725006.150719877	6157313.0386038935	17843847.576067273	38591569.69775501
P00149	GENE149	Protein P00149	24736609.250304002	262038.78659104992	11228134.589581668	449483.71026263584	29202746.75578312	11297061.151770413	8510766.356556233	5327540.547894159	13794031.53799562	719463.9481384718	11580553.47119202	
P00150	GENE150	Protein P00150	239412.66706831334	23761575.948754624	8234950.847260856	52390572.65671669	1445294.0642816713	14720225.119939504	23623423.580987606	18556113.746054363	2836870.1928579197		6730139.137686478	4382285.804462848
P00151	GENE151	Protein P00151		2784650.52351937	2007194.0439516564	7404922.3979256805	17426388.914744437	72413229.44381657	658206.7979812598	2579591.2199372086	4514061.310102401	12810818.022881247	4303461.896426681	927445.6958688615
P00152	GENE152	Protein P00152	291128.9315947742	3237983.3559180056	2797947.5807413445	6101254.073082939	454516.60906035214	2185696.3137936443	1537687.7051417716	1104779.2031937495	22364858.751988333	7171217.618199939		40085527.36676564
P00153	GENE153	Protein P00153	9375348.541415362	6121987.332231811	6808809.183534191	1705084.9787541807	17618905.415638953	1368758.8847248063	39550030.163126424	7864135.509110544	8612879.185536476	1363679.6524548554		8360864.035199539
P00154	GENE154	Protein P00154	3553246.7096047597	16678589.973431615	9746242.047414515	69629651.01354767	13723656.279445803	7255242.883550693	7416542.271740187	3439191.674420288	5171353.096216324	6096892.072143187	737739.6729978409	13317155.938900085
P00155	GENE155	Protein P00155	977287.011795393	45149806.79804673	791332.3163068077	4471018.038154065	2068233.4007739874	2600449.935255063	7227016.952625376			945715.6626179061	4633012.299312727	
P00156	GENE156	Protein P00156	4248949.604789981	4731269.470992191		3639619.526869422		8191812.651018432	30281807.608700216	23109209.46630576	801770.7177307835	9238868.388315985	9405158.29255486	10818106.198167505
P00157	GENE157	Protein P00157	36846840.9261304		54094445.0240244	1764551.0849900725	1516543.5275006173	2844796.6771953166	5036771.0546721835	2871074.2994756503	2985982.7517511663	3038080.472907962	11387834.459444819	1572146.9188799981
P00158	GENE158	Protein P00158	1160465.6104785658	734575.4360178418	2587178.634495149	1430019.6786192209	7237744.712131515	25423056.28800991	522671.31825408025		3912538.530325053	3639927.9984640717		56705840.53053756
P00159	GENE159	Protein P00159	34322426.76944235	3266724.5202957685	2724356.982499665	8823298.608619628	4774812.954576409		719145.869559649	3878919.1801468604	11742995.741904123	7745733.935910253	14264412.549282286	18199704.014428217
P00160	GENE160	Protein P00160		2718525.804566087	2644762.8281270983		22795445.301101625	3886771.5812262227	1407455.777430963	847388.6913284942	9431217.684233846	1595718.353466545	2115698.9824930974	4079684.729542154
P00161	GENE161	Protein P00161		1666173.9405718495	8975375.153706023	4620003.180915843	965483.8804477245	66675267.34013452	10015441.610167842	346654.984320308	995264.0955762602	6723750.033070465	3379243.7627143785	18955034.468928613
P00162	GENE162	Protein P00162	859068.2333377347	1018595.8369027571	920714.6031741215	629580.9058898651	180462.21682924606	46768147.790172055	8635201.940101916	22365252.92884597		8160634.179238241	405950.2737991585	5486546.137275043
P00163	GENE163	Protein P00163	10121317.853195257	1353407.9262526983	35899688.11976752	2783120.810112875	1171308.2565088836	6137782.113441312	26431230.72588959	1465316.2478913136		27328594.245123442	11334862.328067645	3900620.859120101
P00164	GENE164	Protein P00164	39425806.91858023	10883588.224679593	1312782.524139082	915965.4956876348	8790566.786641253	2929542.891736411	9467733.074247992	2705661.614245071	11860046.582325766	3564214.9168767924	2861849.0019386867	2967174.6749750273
P00165	GENE165	Protein P00165	1461470.2456106876		2464279.026990123	434246.0574028261	6080685.149557336	4694659.677416522	6519611.981211313	9210825.439177591	12601068.130094865	3069271.8270071344	8502649.534024497	5623262.798100043
P00166	GENE166	Protein P00166	1278836.0225331036	14374972.45411303	887672.3736673377	4474978.470926433	5356587.728793111	6593601.860906412	17922750.011440855	1691032.7540836362	6344655.030506072	6078909.157038978	5404982.379916587	1856568.3249267903
P00167	GENE167	Protein P00167	831024.1509788028	74911.17644964752	18456771.081778605	238088.55948573773		22560150.121776182	4430003.847821699	12359001.125773055	26496633.80813943	13137243.602261778	5683966.612311607	15324867.65425586
P00168	GENE168	Protein P00168	9522072.629311772		10352124.637972534	31153531.29648452	3977043.284094341	6924121.228434555	93540.18143654343	990228.292130416		5287714.159092754	42747597.19360815	3265709.981579649
P00169	GENE169	Protein P00169		2422881.110373303	1268849.5595024407	5885549.456344648	1410091.545071935	3256058.4081331315	302008.2572612377	2054950.9233850448	3736483.9464485175		6326571.757653249	380314.7821712319
P00170	GENE170	Protein P00170	3188969.501350368	5194986.222400695		6746148.990210511	747313.7446013173	752842.0685326153	25713961.929294363	1425359.1101749572	21180840.790839054	13135680.245965714	6497942.557852448	7100041.140955415
P00171	GENE171	Protein P00171	1881891.1135727863	39935941.12471584	17333394.513426345	14375476.295990981	1894638.1540524517	3503152.151965849	1693678.1423652149	2810483.604209235	2487657.6731394813			12483073.388045348
P00172	GENE172	Protein P00172	20654390.52933677	11913066.142956974	13618447.519028008	3549401.7199514145	13747388.758950856	11466601.782701787	28182809.274844393	317719.09751542367	1185433.1659606805	4216443.764541578	13487912.639342058	800393.1996655642
P00173	GENE173	Protein P00173	6703152.6042744275	696180.8208548905	63573536.44650939	1870593.1903172531	49099478.04657398	21438364.52262005	40551116.56818104	277574.7130524439	2271039.8207086883	5621391.80622529	3421439.0889371247	14852934.82694038
P00174	GENE174	Protein P00174	253892.26143330717	8892689.166528985	2800322.2086670506	791619.6846068797	39116785.32570943	11296937.531624792	808715.7492257995	12294972.836896267	393011.90394332114	518451.7113808496	549598.6238413639	17475070.95555931
P00175	GENE175	Protein P00175	5333548.745534179	1906867.2231457296	3682727.1351525644	19935023.422823276	768049.696863594	8861514.871308014	947402.2447305773	951107.6731657337	486193.6111084265	2944253.8571555247	5160370.277772318	20183736.469529476
P00176	GENE176	Protein P00176	4822527.197507865	4818558.423976542	42467971.759380676	113452.94064543558	3849025.924593552	4694570.049576628	85365.76142884369	11644725.105311545	34447345.233956575	2270074.7007726217	2017754.8205469048	646493.9084559071
P00177	GENE177	Protein P00177	17173397.262370434	3395864.794886595		744374.5264018459	776711.8904019898	9385957.287854748	33632778.54240806	646568.7868259397	978370.4616585652	1756427.9027338119	4748290.348741269	9521288.891220441
P00178	GENE178	Protein P00178	1912688.4147624655	2342178.701558821	896393.8001421004	4146527.6520752423	595025.5396691365	2323911.4380598003		6702467.596325981	1213581.12736773	1684380.6563130976	6278740.429247583	
P00179	GENE179	Protein P00179	3364448.1183986417		9396619.855594806	132601.68177143187	1891318.6839947018	3524610.60177602	10641173.406046523	3833143.428407288	22020645.20705936	47061603.3032813	1253920.9054293537	4282156.725049249
P00180	GENE180	Protein P00180	12538042.548379928	823210.146241479	4075408.017171608	1457475.7648976478		10304690.366001066	60562318.850968786	377432.2534642331	6615296.202390892	19343180.990364492	1441150.3871571424	
P00181	GENE181	Protein P00181		40088818.87919756	299151.7970539546	1400587.0536541864	5684465.881515976		4654522.099071144	827054.7524549285	1368995.05844867	1760338.8041930147		7433210.236053228
P00182	GENE182	Protein P00182	3386131.709624293	4783835.780596191	41175590.05414997		1070529.0441760013	1066403.1073758597	22328073.55134744	1589024.6136171194	87734808.66527505	3118755.4986955426	3793493.30688088	1289901.437635209
P00183	GENE183	Protein P00183	445495.34810881474	4389766.05435754		2619624.045094679	11886094.477361051	5157801.291515271	13067900.501998492	4663357.009661883	4052290.2999887364	30470668.33840386	2974145.7792704296	974767.04784626
P00184	GENE184	Protein P00184		318097.59387265064	1230252.560450304	6331802.189346671	2574468.307565695	7040046.413532912	2445820.515700955	6239657.803447498	13055578.579602994	3736538.7396807713	3997792.7929015527	20400590.479508296
P00185	GENE185	Protein P00185	4208366.114751068	465041.52552621864	765306.5039838435	185372332.59178698	54526897.44734302	216519.08561564746	1990432.4400423742		9157749.172931984	40238809.08887813	70207150.32196425	2211025.0845123045
P00186	GENE186	Protein P00186	2410516.027390377	366404.9597565676	1399662.5758629565	398919.381347236		5248814.333261481	1461500.311656365	19092838.275544297	61759562.169231534	2305830.167393337	1760496.2733919418	18949679.302513946
P00187	GENE187	Protein P00187	5868613.594456117	3234478.5698667457	268827.3063078022	401688.3301408591	19033803.697598048	382736.41443540325	585697.3554972484	9027246.077814162	11852219.324632352	303535.94341910485	2427173.023103147	2674268.892413603
P00188	GENE188	Protein P00188		63303417.089183204	7216065.282396047	45056771.3458833	5255845.566471123	22442194.253672916	20637292.208597913	1677398.1369722118		5619397.641075902	7373021.525072103	46350976.646244004
P00189	GENE189	Protein P00189	467776.6174200572	13500542.490317805	10192919.554538593	1631538.6266527553	66624307.255489826	2058939.063680496	2289833.704784925	2394120.5306516327		5713535.292218908	10808677.980930572	8584816.760219708
P00190	GENE190	Protein P00190	1115842.360698734	1056965.6718342374		18956656.27244479	11296350.793312358	3521877.4154206784	2785924.714885266	2510305.7718742527	1937200.9862756527	1875563.26374073	1099819.1921280925	16732790.11397921
P00191	GENE191	Protein P00191	7074655.493802274	12203426.27171776	2016206.5426414644	7482661.096886469	1212993.973382852	6505223.829388991	935229.8707560345	49737957.72383091	4336495.921186741	3730511.2941882834	9547818.342103899	5131336.909080961
P00192	GENE192	Protein P00192	11446342.979914714		10805865.677142374	26466121.134660427		5856357.182549755	49899530.97905373	135477172.23834035	1057542.5702324642	9908167.779999712	13491421.349538133	3489102.782094556
P00193	GENE193	Protein P00193	532950.4183032417	434320.8135114029	36792753.86193826	3280698.7963451403	40574250.7088906	4095638.4617588194	7275900.680141043	579108.290934232	21600139.989916153	1069736.1231532623	8834097.094579816	5089119.258554749
P00194	GENE194	Protein P00194	1152141.3698174614	809298.4672320875	15188095.240174603		6001802.073854269	6238184.754460096	21162690.805678878	3520704.0041881655		1915176.1599729052	1747904.1209951588	2849040.67464536
P00195	GENE195	Protein P00195		36057989.20802045	420275.5911301302		3765965.574682803	3966738.4771051067	2891076.601201732	1545245.9651730529	6046917.973215393	6165278.008488363	3182787.428588979	59923890.72192606
P00196	GENE196	Protein P00196	496810.55898672127	10967565.811358813	2790044.9456080557	1892888.9729732173	4267433.189169893	3731827.5377707994	14310039.085928133	6511592.44857898	2737145.9556745985	9057061.419050833	977524.7286154159	3757008.6557638715
P00197	GENE197	Protein P00197	4487257.473765882	2188087.563851717	5114557.294023227	4587592.986350404	685831.3870723334	9517174.857544977	7504637.76079941	30010402.872579128	221721.9658642508	256863834.0623868	5230301.687554403	2408645.6255437713
P00198	GENE198	Protein P00198	3206392.583175055	834632.506687805	12545926.027042229	37555685.013613656	136236076.86112532	6253094.497614015	682221.7232905785	36652.65517633328	3554909.9436454405	12528282.513016075	2257472.437920126	9290219.088736309
P00199	GENE199	Protein P00199	681795.5124619514	29169172.405351635	47783582.82422103	5833070.631815957	54583456.6157594	4189942.6903301342	14726230.955432348	4378659.175895694	8477755.58684632	1081757.1918589151	395267.17277742934	4813619.954276914
P00200	GENE200	Protein P00200	1098158.937302442	27545592.594824158	23535064.077839796	237135.3325972637	892442.6508505282	3858797.2981947977	12772167.06539611	467509.7536186919	24012984.059187308	3232866.4874847685		1342373.140532385
P00201	GENE201	Protein P00201	3742086.5707179927		5253214.9412176395	2025594.2194950413	2747017.5419795006	2792847.5691298796	5678319.998493521		3054635.6735474686	2844486.1142164115	909732.4006863357	11336109.073822454
P00202	GENE202	Protein P00202	6266730.6523100035	2154846.1733196825	1497183.340959755	821536.8689336122	18237431.04244543	6440904.370142968	5855767.331952645	3500215.1078760657	3855296.535381278	267295.3851225041	2419936.6852646577	4764316.9881539075
P00203	GENE203	Protein P00203	826454.8017161862	7210129.689452846	688234.930521401	13348311.15634632	537836.3235409942	28306695.83524033	1452841.7957064672	381808.3692323255	1314676.121327942	49702468.52535744	4342080.981685727	9490968.452111974
P00204	GENE204	Protein P00204	2872377.2054869332	5349971.396834507	4777334.207951949	9327212.267554384	24327632.50218654	6754936.894642055	9367698.94050763	9560281.222257024	2210480.281532227	6342111.279103658		36326451.70605362
P00205	GENE205	Protein P00205	19985742.106656335	1242129.3086787777	3057826.2826437033		4302237.012956703	1647068.2505792785		414536685.64301974	1251379.137598717	2414876.500177053	26291598.457572926	6540476.659254115
P00206	GENE206	Protein P00206		7834592.754695254	1050279.1106361425	12427450.151418433	5345184.539873493		585858.8614224773	157336329.00696772	3706132.463677107		26451427.0498694	
P00207	GENE207	Protein P00207	795506.3391452669	13752603.470856491	2457034.1182693047	6824367.300178997	1230955.579491533	3725751.730931275	15575646.725836627	11549138.450530631	3594147.527235814		2247910.1917628353	6125463.5023462195
P00208	GENE208	Protein P00208	215331.0506148847	2850389.3411150654	225829.34451642813	522055.4232201207	1660185.7885019432	17564318.007541433	14736248.523334198	7254380.213703535	3751492.5400198586	10255064.096081913	453488.5539647709	1020725.8487609348
P00209	GENE209	Protein P00209	15012912.061878439	1502886.017158631	899018.8562248265	74940.91729347449	17971943.017878518	7260642.64667185	13444877.99395192	2707730.999789547		965495.0627190113	1288354.7676062763	7243385.275324273
P00210	GENE210	Protein P00210	54906025.93011098	128432.37832505853	13749125.823284212	4122394.1259544953	826126.5307450716	58781157.63925807	16333655.74094287	8169546.985912453	393404.2903121428	50569662.82980234	595965.1293450001	984684.4452323179
P00211	GENE211	Protein P00211	14541462.994014105	74567773.71618529	25016205.146010816	3582700.1161322757	370157.9960498102	3735224.4172939206	12880360.96277674	301451.324993977		2639959.2044959585	17063661.697688755	8388059.350394142
P00212	GENE212	Protein P00212	1033409.8942089885	3188135.8408865663	2761470.590661415	17508872.640319254	3448465.1898607267	14051953.45901991	11913793.338447774	7796620.648591176	518392.8278942341	3050809.753951074	3025043.9026292902	8361035.936128507
P00213	GENE213	Protein P00213			19981796.79304122	274724.7461364955	2559340.401379504	16440905.601163298	16797236.295460965	13525364.755378898	3261932.3918352565	2641202.539646642	481180.0551104623	10607628.168807684
P00214	GENE214	Protein P00214	26250884.392417848	221591.70231641256	14285882.753977524		983123.9040292089	1412715.9868178722		32897409.12210731	1610180.1040601807	9388952.21193108	5206350.23060874	524482.1270789223
P00215	GENE215	Protein P00215	22229374.35329638	11956576.66190091	3636481.8273386518	29042661.474430725		26920392.81295095	1001790.4820076068	79561442.75750642	4280491.595463043	346802.1925391485	4832350.451780489	4433478.8212923575
P00216	GENE216	Protein P00216	149537311.30321145	1210862.2610242602	9857830.823878834	2648274.1460702824	9160306.367510451	1783042.9396597124	612184.168428251	18402223.394318096	2003496.215757704	1724390.976501639	2604357.6579669258	
P00217	GENE217	Protein P00217	766999.2972648501	13668042.08380503	354546.0460571385	7952764.006686056	26731714.040383115	7928025.747168141	552380.8242066	380316.11781586567	3145667.9705761964	5372558.346334459	7118864.905844915	7521748.440743666
P00218	GENE218	Protein P00218	756739.562883419	25853138.206481725	7766849.443789511	4017832.0480757826	8338093.030749483	11904578.892679416	1631422.6826174457		11725279.365685103	10309612.972339954	15155098.143468035	12037532.985363392
P00219	GENE219	Protein P00219	693834330.1969653	2545916.0211465335	4997659.909962093	7857521.1750812875	17257629.382031877	3077218.6954807714	2251998.584690287	9073241.181672323	56761931.746784955	2190762.426989962	14264148.06002614	
P00220	GENE220	Protein P00220		4418679.633179791			8470018.664208902	3360348.872340797	28237170.02956058		2581143.9259741628	5212091.505618933		8485284.047645431
P00221	GENE221	Protein P00221	827156.3750165813	1884982.482071997	581672.8142036265		48901532.87884748	1223174.2305856117	2812555.66568415	441767.7302066543	174035.51379257385	928570.8306689786	940804.9815794495	2105299.8265765873
P00222	GENE222	Protein P00222	451012.89894217416		1688417.4702315894	474855.8270032788	1087052.8927610954	16874181.59878465	61981.75496519349	15888606.654179752	666121.9634872214	2102988.365941261	1063009.6527175324	1011744.1974105763
P00223	GENE223	Protein P00223	6475037.945301686	3496313.7087838557	11161373.180266531	25654462.236001067	369359.6217243108	886985.316884256		226605.17988069163	4775212.080358326	2810944.4393703532	18867971.550447654	4937022.037406264
P00224	GENE224	Protein P00224	1285491.1925543079	1374639.8018190209	33330984.078263942	9252380.52088013	4778983.309684137	1269827.1242552013	2897583.4795371075	81965429.9450197	15900696.332498409	2981928.546175829	692949.2588549384	966004.8613724349
P00225	GENE225	Protein P00225	4368011.382250268	25262255.57145939	13516025.35161076	47325432.14694978	4700959.806408658	17897970.535520077	1840946.3796627985	904921.6598671208	3922621.755800021	3677960.77653882	8072239.897455682	3978985.9558427213
P00226	GENE226	Protein P00226	373494.1928247137	3709642.4495267556	838452.4923323534	1971069.703018246	7491554.898216171	4041907.919148113	8707462.46797394	2757885.4270162866	926231.9594854125	20610667.63868502	3255346.168498127	
P00227	GENE227	Protein P00227		6072759.737727948	959977.3676408683	1855992.4648060403	21685595.223408047	16033682.177658368	22090767.718404766	30871995.77229624	3356616.4171742317	4869763.3487194	3510681.035907271	9546433.516018035
P00228	GENE228	Protein P00228	18757224.420361795		6399792.470708486	1973350.2484643566	4283012.589496142	15344711.66367111	151490563.51303813	2389385.6103649	10421695.306560839	14188293.389339605	10911062.636635838	
P00229	GENE229	Protein P00229	53620579.13821412	4661487.341992771	4606531.135323259	2566539.018306956		895630.5417664656	7682317.208441854	1379945.493783228	1618298.436159856	3010062.7964396933	3216051.707510623	12943387.535020936
P00230	GENE230	Protein P00230	29550711.204024684	2609837.280715641	1174362.0624514623	2566892.422856729	2248327.9958071127	2053021.9652831373	1611314.4875936888			4305117.928867926	659788.0856163013	380709.7068849584
P00231	GENE231	Protein P00231	1488532.294523002	5377650.291831557	401502.1220342919	2735653.7824532175	1127979.3489526748	18078760.027125984	4202526.7591602355		2187872.946837463	8455565.335409226	764888.210004149	3308693.438355384
P00232	GENE232	Protein P00232	890589.1855963009	3528841.0956967096	11876296.026122913	5673416.556373862	4467977.373212331	4164622.7131947284	543674.3161398517	10533366.414180126	5123490.484434539	5967927.813426643	5997067.562516269	751577.7067824152
P00233	GENE233	Protein P00233	769005.9320850717	2813821.8710112674	310143.3356364465	6191436.727662207	2106555.631442559	709400.5364065274	38158349.06831493	2099144.8544187797	718583.9669384467	1045835.5786372406		1540434.0687537587
P00234	GENE234	Protein P00234	980594.3449423199	1051175.3660090952	20873595.47332779	26935097.45339865	32058045.681278568	1993323.2811969158	7095465.292432935	6112631.0907193385			950945.1048187793	8169505.665504211
P00235	GENE235	Protein P00235	951605.3281261665	9007194.744268183	75441070.2216286	1390527.0902454378	27502798.10841456	5801342.9470751425	16113004.929974172	5565254.559096321	9095485.82644956	6109000.298673728	3063028.055288462	3768474.293351278
P00236	GENE236	Protein P00236		23366797.818862706	6522038.348624178	6920086.6028135335	2281159.067228001	178000.12626926255	21740656.875601016	11741669.33357477	8497384.596960748	21022547.592160366	28594472.424604565	31955740.325518116
P00237	GENE237	Protein P00237	598914.4164079074	22540329.893573098	1492853.636285432	6700062.742373961	4587105.349157908	903892.9315568039	8062806.970435577	131139.12851997322	67260313.96966058	3817951.192468425	1719988.6620653777	4916119.155568805
P00238	GENE238	Protein P00238	1553451.564599647	14169721.387923734	2614255.835765813	852062.0675674217	1661371.1299744626	25989020.66472725	2304310.057683662	11110314.56231115	13363895.866230106	2291888.6365570393	1145748.2651766997	
P00239	GENE239	Protein P00239	1074505.7908179397	3493978.6758927437	9291306.152806208	367932.9666787029	4010691.1714350665	1008572.6713119583	1182114.7797633593	12066620.258222379	649283.2646176639	3029463.411617811	935078.0754123357	471173.5955115521
P00240	GENE240	Protein P00240	653019.0512644877		1178881.386648827	94260830.76673798	1463785.7528568658	18126912.775031958	2244364.944728623	3401538.9356315904	4691033.1123104375	1207380.1299530205	13537272.88811089	
P00241	GENE241	Protein P00241	14489656.947751451	437096.5909979599	2233759.310527744	4973093.982110229	62187705.837003075	9572178.131533317		5760200.168817763			4058415.5323316045	
P00242	GENE242	Protein P00242	14650903.86054207	1672232.5865142446		1954759.5442847689	13011544.145325672	3574724.2811933374	23012963.07646374	2275403.9195220796	3288753.162430652	442112.15225219686	9753897.325887347	3519269.544373282
P00243	GENE243	Protein P00243	11999183.700661847	195414.22472551462	4942531.192744737	30114246.54023274	2572212.069454445		44040737.27072441	8892337.416696222	287196.165073354	23154750.580575053	2012723.6166467927	1895320.361156267
P00244	GENE244	Protein P00244	38321396.86919498	2462591.4638764495	1160164.1134445188	8745533.611486161	2221660.0475970064	5831803.522111872	7268939.992346525	2930913.81592774	3477952.4110095147			9075152.975135574
P00245	GENE245	Protein P00245	494305.25565658265	20578281.201144364	4311634.256665726	836528.8363316912		7959869.192225351	211393.49461466205	16454520.374963626	799162.898681445	3232815.040965147		10893517.83570583
P00246	GENE246	Protein P00246	7396294.032605108		9348089.707639938	7582034.257593755	2813286.2241824446	4663785.239822456	1638791.715451433	3775502.936705888	18292292.634541154	83686068.13617359		1880425.3659087576
P00247	GENE247	Protein P00247	903674.2464800694	17864472.975754883	765307.6682751417	5476403.474354021	4499731.749649778	1495637.8699597742	325640.9927349683	16799341.937516876	11723498.127246583	3464311.466880126	438359.6708240887	428936.2588893786
P00248	GENE248	Protein P00248	9897901.3739196	2941619.529092647		15837187.060769446		5395794.172722446	15950367.745455386	876732.4474383701	637471.4300269292	10045206.133479202	471325.89434860524	727203.8837264037
P00249	GENE249	Protein P00249	62151933.688786805	3063121.760505311	2535500.1014178656	1193309.3058058014	96442.99507872906	13522708.211106312		2312752.8875627494	7852879.410267569	4074369.728584498	1398128.2901651538	7699757.155845577
P00250	GENE250	Protein P00250	10872429.1200589	6131285.378022218	6737675.317912884	690510.7112610128		5182236.859301083	409745.9514209375	26270223.781582177		1654443.8068937398	7632156.096533422	94156077.17866085
P00251	GENE251	Protein P00251	813053.0212080257	1699572.5484584586		1578644.0011520304	83615075.31245357	590901.4452695434	1933790.2655745696	2435751.2992541264	31390197.856383964	2427533.2023375714	3989968.267597343	4404452.100474663
P00252	GENE252	Protein P00252	1222986.9622270588	3097039.4101940594	9508748.94315155	3966216.342302127	2636152.045804917	2468074.025448558	3969253.870249199	905812.9650757534		4679831.117671456	4328555.74440966	12502942.558127252
P00253	GENE253	Protein P00253	213059371.41643164	2128289.8034653263	8916387.209088566	2398267.8137608496	2413618.00782927	1417134.8330557013	1423963.355232184	13911681.308435433		8479167.110572381	1386238.9668537336	
P00254	GENE254	Protein P00254	2783086.897253111	23805821.7068948	2062415.5415220836	5946967.8365885215		2209015.568518643	3179381.781781623	26131257.322356403	18755458.717154555	9720400.99414386	1215093.781926789	16519929.17602128
P00255	GENE255	Protein P00255	1448239.1585818233	932431.3565328906	6299207.350888959	45800182.719854064	996366.6411482578	22156322.385154713	7324693.859334806	50972558.08794354	3501730.9775360357	9634354.666377656		2450358.2927625915
P00256	GENE256	Protein P00256	1223767.367076095	890085.101634621	13322309.712572958	15124944.894840823	1094127.8656296146	2000234.5003760175	12776679.802744448	5972801.300829398	1413213.7212345202	31207799.141112216	3172545.8700551386	14077184.649119755
P00257	GENE257	Protein P00257	17897856.14379185	3775783.6865483876	903003.0601557455	48719740.145181164	14716113.16586503	134606450.32877812	7721554.003552695	11493915.952976448	1620284.7984904537	24720373.72505659	7742322.5630988935	7213732.619240396
P00258	GENE258	Protein P00258	4406236.158786223	1369079.9080926504	4204312.82243711	626397.581592041	9332997.188913876	2736447.9656763375	11921240.611766499	4852218.001581167	739957.7131465051	18622353.37796704	13918377.476355636	9204423.112370254
P00259	GENE259	Protein P00259	5303616.406716799			488345.95856074034	765441.5295011194	65698549.82864382	11977156.498684984	10732857.906307196	3579237.0722432565	208924.8184201833	2745056.916587292	
P00260	GENE260	Protein P00260		11498320.487406623	4870543.964176661	1214137.5942074137	48035427.4840892	24493918.602674548		311871.75383209775	7366341.970297813	19635275.98551519	24226635.57807835	764845.1585982493
P00261	GENE261	Protein P00261	12702781.3499786	432478.9933877235	57051755.49935148	4516889.049398575	1187285.7118433446	5830948.133039999	3969670.1029168977	6262743.244374049	460251.3064052331	39784260.08902651	2288854.203541829	
P00262	GENE262	Protein P00262	1947596.60275103	2445948.4195392937	3806809.45333532	1824527.7735093099	3302211.744318017		15456309.227577142	1873640.5983570635		4715588.14015612	581702.3663705621	
P00263	GENE263	Protein P00263	9220134.359846087	3710955.5371819334	1176466.5588864514	4319862.050667153	60879785.88197854	4466511.987771534	3993939.338099773	49176801.2794328		2983043.71858564	1761614.6283337218	41311770.64289388
P00264	GENE264	Protein P00264	1980185.5283877829	1593578.0443869836	29912061.32967237	792455.5078720199	8831785.027003031	1468719.683339595	1657795.5154163449	4173842.868948065		4949312.24786933		5593930.149228593
