Protein	Protein ID	Entry Name	Gene	Protein Description	Protein Probability	Top Peptide Probability	Unique Spectral Count	Razor Spectral Count	Total Spectral Count	Unique Peptide Count	Razor Peptide Count	Total Peptide Count	Sample1 MaxLFQ Intensity	Sample2 MaxLFQ Intensity	Sample3 MaxLFQ Intensity	Sample4 MaxLFQ Intensity	Sample5 MaxLFQ Intensity	Sample6 MaxLFQ Intensity	Sample7 MaxLFQ Intensity	Sample8 MaxLFQ Intensity
P00110	P00110	GENE110	GENE110	FragPipe protein 110	0.9981984532972975	0.9498587062107823	22	24	69	13	14	11	29376910.580171786	44263621.953083135	634629.3791125672	9251912.765759803	22316511.574286982	20815559.491713233	3882296.92051477	9143382.654622132
P00111	P00111	GENE111	GENE111	FragPipe protein 111	0.9944197748001953	0.9479656438239417	50	9	78	18	12	13	6842901.728230624	853729.2121458985	10190844.240149854	4466664.008720329	5013742.941481627	2622657.3088957183	5806808.394441682	919258.8551149307
P00112	P00112	GENE112	GENE112	FragPipe protein 112	0.9922506515496625	0.9517277653219356	38	50	71	7	17	7	1419074.4263350822	4336866.715309883	13623132.584671067	18020543.95881009	5433747.797283574	5883845.977553299	3078533.3166898442	260430.447761633
P00113	P00113	GENE113	GENE113	FragPipe protein 113	0.9981779440421776	0.9452779329227907	44	34	79	14	16	18	2771650.368948478	6955841.417628444	6587350.815623546	825686.7473122074	1336018.7385175978	508556.20435748337	10024997.956743749	18009433.03550386
P00114	P00114	GENE114	GENE114	FragPipe protein 114	0.9917161232616846	0.9168330955603317	40	46	93	19	2	14	5076911.892511639	1367974.8970189686	4666261.76785496	2202313.5512284115	2495027.1731962655	28430438.431208782	9643336.848764284	1629934.1585969261
P00115	P00115	GENE115	GENE115	FragPipe protein 115	0.9969882176313072	0.9611088833558075	38	47	30	19	17	11	4213579.8302270025	737216.9284688293	4017361.964396744	432857.33175471995	6142510.6713840095	2147526.541365685	1002128.1931514733	1980346.9865482566
P00116	P00116	GENE116	GENE116	FragPipe protein 116	0.997649276310089	0.9229399037150694	48	28	42	20	13	11	2626026.750425771	1360159.1015785225	3435463.8414914366	1107441.1676808463	10540038.933855074	4009990.533133783	10485664.810721874	2240441.658314376
P00117	P00117	GENE117	GENE117	FragPipe protein 117	0.9924554770462873	0.9614704383182973	34	15	63	2	6	21	24326976.017130326	4193634.4017465175	8349048.8950351495	5913942.850859878	4849739.50438349	6595003.982745045	5604802.971228517	1357692.67083048
P00118	P00118	GENE118	GENE118	FragPipe protein 118	0.99166355250494	0.9734476639746409	5	22	64	3	13	28	19425617.952518996	11447616.447009305	7865104.934124274	3033816.903141989	552261.2602152457	48906715.19598829	2196984.314467116	129327871.47902292
P00119	P00119	GENE119	GENE119	FragPipe protein 119	0.9926217659766436	0.9574046236860015	25	18	71	18	2	20	1562938.1849054515	1114302.6929530976	26702809.598061107	18585166.380117975	10968295.588420039	3135026.270628086	2789439.383535477	7172730.667329366
P00120	P00120	GENE120	GENE120	FragPipe protein 120	0.996061456695464	0.9884835241884997	49	10	11	20	15	17	2434220.9861534424	9399723.404354341	4225426.152962035	27059783.942637943	39853312.3933291	48819621.819551155	9952382.76317537	6867424.862061012
P00121	P00121	GENE121	GENE121	FragPipe protein 121	0.9904908771545818	0.9812715775404994	22	39	61	9	12	7	2510336.6870377567	1172316.875894549	275218.6346488608	242755.7554389709	9185681.739268648	463602.95509102766	8902853.221593259	350608.23148408794
P00122	P00122	GENE122	GENE122	FragPipe protein 122	0.9958002005783287	0.9836200043872418	17	41	94	4	19	25	608156.1211894936	877577.558233885	1216969.6824179068	26128384.733764134	7752004.850279502	7230771.06976627	429635.05159627646	251152.64334794198
P00123	P00123	GENE123	GENE123	FragPipe protein 123	0.9910736370186888	0.9479863631168766	18	34	85	17	9	10	5147539.834888845	1908498.565481231	29074390.979094483	2353112.63848624	8914329.459259983	23689011.798318043	20302338.7546931	3087787.6023679413
P00124	P00124	GENE124	GENE124	FragPipe protein 124	0.9971957336793148	0.9121987227748805	12	21	98	5	3	6	31803930.57190711	913192.459474525	197821.5083010928	1269596.2361239463	5334419.758649706	13969015.685656242	8949162.726145897	3674803.1974473004
P00125	P00125	GENE125	GENE125	FragPipe protein 125	0.9965550905667029	0.9961309016931423	34	25	73	14	5	29	48765769.184089005	7038821.804222977	3035906.284327292	5130631.2009111	2733945.3007835043	8473971.597746199	3914692.5313909273	1551350.0617291667
P00126	P00126	GENE126	GENE126	FragPipe protein 126	0.9994023940690084	0.9347836320387821	50	42	71	4	20	25	19022062.49435013	6056908.731264323	1695862.563747232	34281294.36500233	7655982.584741296	5765756.088795182	8597615.830319034	34435800.98597253
P00127	P00127	GENE127	GENE127	FragPipe protein 127	0.99032474732528	0.918520622152743	5	39	56	16	13	23	21138928.157720823	6077534.215776798	5611606.276375385	6348971.285018176	4362209.097333302	12601602.186744092	971770.4276746948	563088.7324602387
P00128	P00128	GENE128	GENE128	FragPipe protein 128	0.9991422154348701	0.9002263014410757	19	39	96	15	17	8	1005662.347544706	2751064.479219337	2164846.8781267446	12135305.239790529	2737522.690730403	19531304.99970618	1124883.418250965	4689042.033973891
P00129	P00129	GENE129	GENE129	FragPipe protein 129	0.9967196188587292	0.9121794943094272	6	20	78	11	9	23	7041241.2207301725	4144693.6566716493	957014.5944631692	18482409.126141496	361182.56288205937	1669320.4498967887	42205027.22711158	388496.7233102209
P00130	P00130	GENE130	GENE130	FragPipe protein 130	0.9982135342722306	0.9111692368439887	26	7	24	16	5	20	1565257.5358859259	2893587.6992305857	20513959.823380932	2227517.749224382	1933329.7409651116	15929127.064033318	16284188.70659818	1036288.6042579351
